timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T22:53:04+02:00,gruss-2,N/A,261.01,300.00
2026-05-20T22:53:15+02:00,gruss-2,N/A,258.90,300.00
2026-05-20T22:53:25+02:00,gruss-2,N/A,260.90,300.00
2026-05-20T22:53:36+02:00,gruss-2,N/A,260.77,300.00
2026-05-20T22:53:46+02:00,gruss-2,N/A,256.72,300.00
2026-05-20T22:53:57+02:00,gruss-2,N/A,261.85,300.00
2026-05-20T22:54:07+02:00,gruss-2,N/A,262.77,300.00
2026-05-20T22:54:17+02:00,gruss-2,N/A,259.67,300.00
2026-05-20T22:54:28+02:00,gruss-2,N/A,263.11,300.00
2026-05-20T22:54:38+02:00,gruss-2,N/A,262.72,300.00
2026-05-20T22:54:48+02:00,gruss-2,N/A,262.42,300.00
2026-05-20T22:54:59+02:00,gruss-2,N/A,260.05,300.00
2026-05-20T22:55:09+02:00,gruss-2,N/A,262.96,300.00
2026-05-20T22:55:19+02:00,gruss-2,N/A,262.48,300.00
2026-05-20T22:55:30+02:00,gruss-2,N/A,263.40,300.00
2026-05-20T22:55:40+02:00,gruss-2,N/A,266.36,300.00
2026-05-20T22:55:51+02:00,gruss-2,N/A,264.68,300.00
2026-05-20T22:56:01+02:00,gruss-2,N/A,262.82,300.00
2026-05-20T22:56:11+02:00,gruss-2,N/A,265.74,300.00
2026-05-20T22:56:22+02:00,gruss-2,N/A,263.15,300.00
2026-05-20T22:56:32+02:00,gruss-2,N/A,263.55,300.00
2026-05-20T22:56:43+02:00,gruss-2,N/A,264.69,300.00
2026-05-20T22:56:53+02:00,gruss-2,N/A,265.66,300.00
2026-05-20T22:57:03+02:00,gruss-2,N/A,265.91,300.00
2026-05-20T22:57:14+02:00,gruss-2,N/A,265.41,300.00
2026-05-20T22:57:24+02:00,gruss-2,N/A,263.29,300.00
2026-05-20T22:57:35+02:00,gruss-2,N/A,264.17,300.00
2026-05-20T22:57:45+02:00,gruss-2,N/A,264.74,300.00
2026-05-20T22:57:55+02:00,gruss-2,N/A,264.89,300.00
2026-05-20T22:58:06+02:00,gruss-2,N/A,124.07,300.00
2026-05-20T22:58:16+02:00,gruss-2,N/A,119.44,300.00
2026-05-20T22:58:26+02:00,gruss-2,N/A,117.57,300.00
2026-05-20T22:58:37+02:00,gruss-2,N/A,116.57,300.00
2026-05-20T22:58:47+02:00,gruss-2,N/A,115.55,300.00
2026-05-20T22:58:57+02:00,gruss-2,N/A,116.03,300.00
2026-05-20T22:59:07+02:00,gruss-2,N/A,244.41,300.00
2026-05-20T22:59:18+02:00,gruss-2,N/A,136.70,300.00
2026-05-20T22:59:29+02:00,gruss-2,N/A,299.47,300.00
2026-05-20T22:59:39+02:00,gruss-2,N/A,298.64,300.00
2026-05-20T22:59:50+02:00,gruss-2,N/A,299.59,300.00
2026-05-20T23:00:00+02:00,gruss-2,N/A,299.40,300.00
2026-05-20T23:00:10+02:00,gruss-2,N/A,299.25,300.00
2026-05-20T23:00:21+02:00,gruss-2,N/A,299.90,300.00
2026-05-20T23:00:31+02:00,gruss-2,N/A,299.04,300.00
2026-05-20T23:00:42+02:00,gruss-2,N/A,298.94,300.00
2026-05-20T23:00:52+02:00,gruss-2,N/A,299.28,300.00
2026-05-20T23:01:03+02:00,gruss-2,N/A,299.05,300.00
2026-05-20T23:01:13+02:00,gruss-2,N/A,299.35,300.00
2026-05-20T23:01:23+02:00,gruss-2,N/A,299.11,300.00
2026-05-20T23:01:34+02:00,gruss-2,N/A,298.88,300.00
2026-05-20T23:01:44+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:01:55+02:00,gruss-2,N/A,299.55,300.00
2026-05-20T23:02:05+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:02:16+02:00,gruss-2,N/A,298.92,300.00
2026-05-20T23:02:26+02:00,gruss-2,N/A,299.54,300.00
2026-05-20T23:02:36+02:00,gruss-2,N/A,299.24,300.00
2026-05-20T23:02:47+02:00,gruss-2,N/A,299.35,300.00
2026-05-20T23:02:57+02:00,gruss-2,N/A,299.20,300.00
2026-05-20T23:03:08+02:00,gruss-2,N/A,298.54,300.00
2026-05-20T23:03:18+02:00,gruss-2,N/A,298.99,300.00
2026-05-20T23:03:28+02:00,gruss-2,N/A,298.59,300.00
2026-05-20T23:03:38+02:00,gruss-2,N/A,298.63,300.00
2026-05-20T23:03:49+02:00,gruss-2,N/A,299.73,300.00
2026-05-20T23:04:00+02:00,gruss-2,N/A,298.81,300.00
2026-05-20T23:04:10+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:04:20+02:00,gruss-2,N/A,298.61,300.00
2026-05-20T23:04:31+02:00,gruss-2,N/A,298.51,300.00
2026-05-20T23:04:41+02:00,gruss-2,N/A,298.88,300.00
2026-05-20T23:04:52+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:05:02+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:05:12+02:00,gruss-2,N/A,299.23,300.00
2026-05-20T23:05:23+02:00,gruss-2,N/A,299.39,300.00
2026-05-20T23:05:33+02:00,gruss-2,N/A,299.42,300.00
2026-05-20T23:05:43+02:00,gruss-2,N/A,299.12,300.00
