timestamp, power.draw [W]
2026/04/20 23:59:16.145, 8.30 W
2026/04/20 23:59:26.149, 9.09 W
2026/04/20 23:59:36.151, 8.60 W
2026/04/20 23:59:46.154, 8.50 W
2026/04/20 23:59:56.157, 12.79 W
2026/04/21 00:00:06.159, 8.31 W
2026/04/21 00:00:16.163, 8.50 W
2026/04/21 00:00:26.166, 8.70 W
2026/04/21 00:00:36.169, 8.80 W
2026/04/21 00:00:46.172, 8.79 W
2026/04/21 00:00:56.176, 8.69 W
2026/04/21 00:01:06.179, 8.79 W
2026/04/21 00:01:16.183, 8.40 W
2026/04/21 00:01:26.186, 8.80 W
2026/04/21 00:01:36.190, 8.31 W
2026/04/21 00:01:46.193, 8.31 W
2026/04/21 00:01:56.196, 8.50 W
2026/04/21 00:02:06.200, 8.60 W
2026/04/21 00:02:16.203, 8.11 W
2026/04/21 00:02:26.206, 8.50 W
2026/04/21 00:02:36.210, 8.60 W
2026/04/21 00:02:46.214, 8.31 W
2026/04/21 00:02:56.217, 8.50 W
2026/04/21 00:03:06.220, 8.21 W
2026/04/21 00:03:16.224, 8.31 W
2026/04/21 00:03:26.227, 8.21 W
2026/04/21 00:03:36.231, 8.70 W
2026/04/21 00:03:46.234, 8.41 W
