timestamp, power.draw [W]
2026/04/20 22:37:44.511, 8.50 W
2026/04/20 22:37:54.515, 8.21 W
2026/04/20 22:38:04.518, 8.70 W
2026/04/20 22:38:14.522, 8.60 W
2026/04/20 22:38:24.525, 8.31 W
2026/04/20 22:38:34.528, 8.21 W
2026/04/20 22:38:44.531, 8.40 W
2026/04/20 22:38:54.534, 8.50 W
2026/04/20 22:39:04.536, 8.60 W
2026/04/20 22:39:14.540, 8.50 W
2026/04/20 22:39:24.543, 8.50 W
2026/04/20 22:39:34.546, 8.21 W
2026/04/20 22:39:44.550, 8.50 W
2026/04/20 22:39:54.553, 8.21 W
2026/04/20 22:40:04.557, 8.60 W
2026/04/20 22:40:14.560, 8.79 W
2026/04/20 22:40:24.563, 8.51 W
2026/04/20 22:40:34.566, 8.69 W
2026/04/20 22:40:44.569, 8.60 W
2026/04/20 22:40:54.572, 8.50 W
2026/04/20 22:41:04.575, 8.79 W
2026/04/20 22:41:14.579, 8.79 W
2026/04/20 22:41:24.582, 8.90 W
2026/04/20 22:41:34.586, 8.40 W
2026/04/20 22:41:44.589, 8.79 W
2026/04/20 22:41:54.593, 8.60 W
2026/04/20 22:42:04.597, 8.69 W
2026/04/20 22:42:14.600, 8.11 W
2026/04/20 22:42:24.604, 8.50 W
2026/04/20 22:42:34.606, 8.21 W
2026/04/20 22:42:44.609, 8.41 W
2026/04/20 22:42:54.612, 8.40 W
2026/04/20 22:43:04.615, 8.40 W
2026/04/20 22:43:14.618, 8.60 W
2026/04/20 22:43:24.621, 8.31 W
2026/04/20 22:43:34.624, 8.30 W
2026/04/20 22:43:44.627, 8.50 W
2026/04/20 22:43:54.630, 8.50 W
2026/04/20 22:44:04.634, 8.30 W
2026/04/20 22:44:14.637, 8.60 W
2026/04/20 22:44:24.640, 8.50 W
2026/04/20 22:44:34.643, 8.50 W
2026/04/20 22:44:44.647, 8.21 W
2026/04/20 22:44:54.650, 8.60 W
2026/04/20 22:45:04.652, 8.51 W
2026/04/20 22:45:14.656, 8.31 W
2026/04/20 22:45:24.659, 8.11 W
2026/04/20 22:45:34.662, 8.60 W
2026/04/20 22:45:44.666, 8.70 W
2026/04/20 22:45:54.669, 8.41 W
2026/04/20 22:46:04.673, 8.79 W
2026/04/20 22:46:14.676, 8.89 W
2026/04/20 22:46:24.679, 8.89 W
2026/04/20 22:46:34.683, 8.89 W
2026/04/20 22:46:44.686, 9.28 W
2026/04/20 22:46:54.689, 8.79 W
2026/04/20 22:47:04.693, 8.21 W
2026/04/20 22:47:14.696, 8.40 W
2026/04/20 22:47:24.700, 8.31 W
2026/04/20 22:47:34.703, 8.30 W
2026/04/20 22:47:44.706, 8.60 W
2026/04/20 22:47:54.710, 8.50 W
2026/04/20 22:48:04.713, 8.60 W
2026/04/20 22:48:14.716, 8.60 W
2026/04/20 22:48:24.719, 8.11 W
2026/04/20 22:48:34.723, 8.60 W
2026/04/20 22:48:44.726, 8.50 W
2026/04/20 22:48:54.730, 8.50 W
2026/04/20 22:49:04.733, 8.41 W
2026/04/20 22:49:14.736, 8.60 W
2026/04/20 22:49:24.739, 8.89 W
2026/04/20 22:49:34.742, 8.31 W
2026/04/20 22:49:44.746, 8.60 W
2026/04/20 22:49:54.749, 8.31 W
2026/04/20 22:50:04.753, 8.21 W
2026/04/20 22:50:14.756, 8.50 W
2026/04/20 22:50:24.759, 8.31 W
2026/04/20 22:50:34.762, 8.40 W
2026/04/20 22:50:44.766, 8.40 W
2026/04/20 22:50:54.769, 8.69 W
2026/04/20 22:51:04.773, 8.89 W
2026/04/20 22:51:14.776, 8.60 W
2026/04/20 22:51:24.779, 8.60 W
2026/04/20 22:51:34.783, 8.60 W
2026/04/20 22:51:44.786, 8.70 W
2026/04/20 22:51:54.789, 8.31 W
2026/04/20 22:52:04.792, 8.40 W
2026/04/20 22:52:14.795, 8.31 W
2026/04/20 22:52:24.799, 8.31 W
2026/04/20 22:52:34.802, 8.31 W
2026/04/20 22:52:44.805, 8.21 W
2026/04/20 22:52:54.808, 8.41 W
2026/04/20 22:53:04.811, 8.31 W
2026/04/20 22:53:14.814, 8.60 W
2026/04/20 22:53:24.817, 8.40 W
2026/04/20 22:53:34.820, 8.60 W
2026/04/20 22:53:44.824, 11.33 W
2026/04/20 22:53:54.827, 8.50 W
2026/04/20 22:54:04.830, 8.69 W
2026/04/20 22:54:14.833, 8.70 W
2026/04/20 22:54:24.837, 8.21 W
2026/04/20 22:54:34.840, 8.40 W
2026/04/20 22:54:44.843, 14.26 W
2026/04/20 22:54:54.847, 8.50 W
2026/04/20 22:55:04.849, 8.69 W
2026/04/20 22:55:14.853, 8.50 W
2026/04/20 22:55:24.856, 8.69 W
2026/04/20 22:55:34.859, 9.19 W
2026/04/20 22:55:44.862, 9.09 W
2026/04/20 22:55:54.864, 8.50 W
2026/04/20 22:56:04.867, 8.99 W
2026/04/20 22:56:14.871, 8.40 W
2026/04/20 22:56:24.873, 8.60 W
2026/04/20 22:56:34.876, 11.52 W
2026/04/20 22:56:44.880, 8.40 W
2026/04/20 22:56:54.883, 8.21 W
2026/04/20 22:57:04.886, 8.69 W
2026/04/20 22:57:14.890, 8.79 W
2026/04/20 22:57:24.893, 14.44 W
2026/04/20 22:57:34.903, 8.40 W
2026/04/20 22:57:44.907, 8.50 W
2026/04/20 22:57:54.909, 8.50 W
2026/04/20 22:58:04.913, 8.50 W
2026/04/20 22:58:14.916, 8.31 W
2026/04/20 22:58:24.920, 8.60 W
2026/04/20 22:58:34.923, 8.11 W
2026/04/20 22:58:44.926, 8.40 W
2026/04/20 22:58:54.929, 8.50 W
2026/04/20 22:59:04.933, 8.60 W
2026/04/20 22:59:14.936, 8.50 W
2026/04/20 22:59:24.939, 8.79 W
2026/04/20 22:59:34.942, 8.89 W
2026/04/20 22:59:44.946, 8.60 W
2026/04/20 22:59:54.949, 8.60 W
2026/04/20 23:00:04.953, 8.60 W
2026/04/20 23:00:14.956, 8.40 W
2026/04/20 23:00:24.959, 8.69 W
2026/04/20 23:00:34.962, 8.70 W
2026/04/20 23:00:44.964, 8.79 W
2026/04/20 23:00:54.968, 8.69 W
2026/04/20 23:01:04.971, 8.99 W
2026/04/20 23:01:14.975, 8.60 W
2026/04/20 23:01:24.978, 8.41 W
2026/04/20 23:01:34.981, 8.60 W
2026/04/20 23:01:44.985, 8.21 W
2026/04/20 23:01:54.988, 8.50 W
2026/04/20 23:02:04.991, 8.21 W
2026/04/20 23:02:14.994, 8.60 W
2026/04/20 23:02:24.997, 8.31 W
2026/04/20 23:02:35.001, 8.60 W
2026/04/20 23:02:45.004, 8.21 W
2026/04/20 23:02:55.008, 8.60 W
2026/04/20 23:03:05.011, 8.31 W
2026/04/20 23:03:15.015, 8.11 W
2026/04/20 23:03:25.018, 8.50 W
2026/04/20 23:03:35.022, 8.50 W
2026/04/20 23:03:45.025, 8.60 W
2026/04/20 23:03:55.028, 8.21 W
2026/04/20 23:04:05.031, 8.31 W
2026/04/20 23:04:15.034, 8.60 W
2026/04/20 23:04:25.037, 8.69 W
2026/04/20 23:04:35.040, 8.31 W
2026/04/20 23:04:45.044, 8.50 W
2026/04/20 23:04:55.047, 8.70 W
2026/04/20 23:05:05.050, 8.69 W
2026/04/20 23:05:15.053, 8.69 W
2026/04/20 23:05:25.057, 8.69 W
2026/04/20 23:05:35.060, 8.60 W
2026/04/20 23:05:45.063, 8.41 W
2026/04/20 23:05:55.066, 8.50 W
