,comparison,feature,cohen_d,d_significant,pval_raw,pval_corrected,reject_H0,mean_False,mean_True,direction
0,False vs True,word_count,,False,,,False,,,False > True
1,False vs True,unique_word_count,-0.146,False,0.0785091837221779,0.18010930383323165,False,88.25925925925925,92.24074074074075,True > False
2,False vs True,content_word_count,-0.263,False,0.0022421324119162424,0.020179191707246184,True,65.9074074074074,73.98148148148148,True > False
3,False vs True,unique_content_word_count,-0.269,False,0.006194128880010721,0.03623565394806272,True,56.851851851851855,63.0,True > False
4,False vs True,sentence_count,-0.288,False,0.01078818547706425,0.03944430315051616,True,7.074074074074074,7.962962962962963,True > False
5,False vs True,paragraph_count,,False,,,False,1.0,1.0,False > True
6,False vs True,avg_word_length,0.245,False,0.33487327977614945,0.5023099196642242,False,4.860596617752247,4.797826161413417,False > True
7,False vs True,char_count,-0.214,False,0.009790977254393455,0.03944430315051616,True,649.2407407407408,706.2777777777778,True > False
8,False vs True,char_count_content,-0.299,False,0.0009163960697751722,0.010846367157286407,True,438.3333333333333,495.77777777777777,True > False
9,False vs True,avg_sentence_length,0.121,False,0.8110864727644298,0.9303638952297871,False,19.041442199775535,18.770558928483766,False > True
10,False vs True,avg_content_word_length,0.51,True,0.0026561046787287935,0.02219744624366206,True,10.113277661847706,9.683835444722915,False > True
11,False vs True,count_NA,0.072,False,0.6607174568746905,0.8137257100456715,False,3.111111111111111,2.9444444444444446,False > True
12,False vs True,count_ADJ,0.147,False,0.17541959589643696,0.30632974208780783,False,9.703703703703704,8.962962962962964,False > True
13,False vs True,count_ADP,-0.353,False,0.0013796968882688002,0.013452044660620803,True,25.62962962962963,29.22222222222222,True > False
14,False vs True,count_ADV,-0.035,False,0.9647022282487479,1.0,False,3.259259259259259,3.3518518518518516,True > False
15,False vs True,count_AUX,-0.509,False,0.028970112696464573,0.08070245679729417,False,4.148148148148148,6.555555555555555,True > False
16,False vs True,count_CCONJ,-0.163,False,0.28562339587169516,0.4455724975598444,False,5.2407407407407405,5.796296296296297,True > False
17,False vs True,count_DET,-0.019,False,0.5239852682199336,0.6894283806044785,False,25.01851851851852,25.24074074074074,True > False
18,False vs True,count_INTJ,,False,,,False,,,False > True
19,False vs True,count_NOUN,-0.296,False,0.0009270399279731973,0.010846367157286407,True,29.166666666666668,32.94444444444444,True > False
20,False vs True,count_NUM,0.265,False,0.12607571844055038,0.25001456029736263,False,5.148148148148148,4.685185185185185,False > True
21,False vs True,count_PRON,-0.262,False,0.015557518122130173,0.05056193389692306,False,8.38888888888889,9.87037037037037,True > False
22,False vs True,count_PROPN,0.516,True,0.004634125433710544,0.03189368680847845,True,9.296296296296296,7.2407407407407405,False > True
23,False vs True,count_PUNCT,0.123,False,0.4548289635756797,0.626058691039465,False,17.11111111111111,16.11111111111111,False > True
24,False vs True,count_SCONJ,0.448,True,0.014287890759270679,0.04776237768099056,True,0.6296296296296297,0.2777777777777778,False > True
25,False vs True,count_SYM,0.192,False,1.0,1.0,False,0.018518518518518517,0.0,False > True
26,False vs True,count_VERB,-0.432,False,0.00012011455580705847,0.00702670151471292,True,15.38888888888889,18.85185185185185,True > False
27,False vs True,count_X,-0.192,False,0.4226780741706355,0.6030894472922483,False,0.05555555555555555,0.2222222222222222,True > False
28,False vs True,prop_NA,0.096,False,0.3055444395223559,0.4642688236898135,False,0.01760245020026165,0.016629205961829267,False > True
