category,term,beta,OR,OR_ci_low,OR_ci_high,p,converged,p_bh,stars
motor,Intercept,-0.35262597748878965,0.702840022212314,0.4337215047029349,1.138943057854017,0.15222112854571362,True,,
motor,C(genre_auto)[T.Masc],0.1577111806333039,1.1708279880716823,0.4261427282219404,3.216852211398135,0.7597278619299836,True,0.7597278619299836,
motor,C(model)[T.mistral],-1.098195781881965,0.3334721978457133,0.1594244645453904,0.697532258007925,0.0035386205109808164,True,0.007077241021961633,**
motor,C(model)[T.qwen],1.2245324297827218,3.4025747681704903,1.890964146440438,6.1225460433948715,4.397217895194324e-05,True,0.0002638330737116595,***
motor,C(quant)[T.torch],-0.5702075955857989,0.5654080502998845,0.3355957657816312,0.9525932563521475,0.032157590880292956,True,0.05512729865193078,
sensory,Intercept,-1.5552805422317715,0.21113014341018016,0.11432570520659578,0.389903017662134,6.718970090448115e-07,True,,
sensory,C(genre_auto)[T.Masc],-2.048534689824278,0.1289236784250699,0.04352823106625412,0.38185137441840006,0.0002175212725968854,True,0.0008700850903875416,***
sensory,C(model)[T.mistral],1.8995009586706508,6.682558737025526,3.367131784919889,13.262501774892266,5.588786790531559e-08,True,6.706544148637871e-07,***
sensory,C(model)[T.qwen],-3.3268042774218416,0.03590767286761161,0.00471743984363691,0.27331794649306623,0.00131572895806705,True,0.0031577494993609194,**
sensory,C(quant)[T.torch],0.5106786353882786,1.666421704040917,0.8682130736096784,3.1984790140894255,0.12474739471337594,True,0.16632985961783459,
other,Intercept,-1.5952894551931776,0.2028498040746843,0.11319494751572275,0.36351483804011975,8.327655979519135e-08,True,,
other,C(genre_auto)[T.Masc],1.5635389882048907,4.775692493359238,1.9533658038836825,11.67586672490243,0.000608297666964144,True,0.0018248930008924321,**
other,C(model)[T.mistral],-0.22111345103515045,0.8016257298622266,0.3797992115796026,1.6919566739081116,0.5618108779794503,True,0.6128845941594003,
other,C(model)[T.qwen],0.5163667361973046,1.6759274879829633,0.8698282445025338,3.2290661549892956,0.12278627119095185,True,0.16632985961783459,
other,C(quant)[T.torch],0.35390981435907676,1.4246266998141501,0.8224833664569591,2.4676015547477514,0.20669513606055157,True,0.24803416327266187,
